DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1996-01,83.3,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1996-02,83.4,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1996-03,83.6,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1996-04,84.0,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1996-05,84.1,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1996-06,84.2,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1996-07,84.6,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1996-08,84.4,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1996-09,84.7,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1996-10,85.2,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1996-11,85.1,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1996-12,85.1,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1997-01,86.0,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1997-02,86.2,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1997-03,86.4,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1997-04,86.2,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1997-05,86.5,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1997-06,86.7,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1997-07,86.2,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1997-08,86.2,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1997-09,86.5,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1997-10,86.8,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1997-11,86.8,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1997-12,86.9,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1998-01,87.3,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1998-02,87.5,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1998-03,88.0,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1998-04,88.1,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1998-05,88.0,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1998-06,88.2,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1998-07,88.3,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1998-08,87.9,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1998-09,88.5,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1998-10,88.5,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1998-11,88.7,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1998-12,88.8,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1999-01,89.1,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1999-02,89.3,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1999-03,89.8,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1999-04,90.0,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1999-05,90.0,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1999-06,90.0,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1999-07,89.8,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1999-08,89.4,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1999-09,90.1,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1999-10,90.6,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1999-11,91.0,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,1999-12,91.1,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2000-01,91.5,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2000-02,91.9,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2000-03,92.2,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2000-04,92.4,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2000-05,92.5,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2000-06,93.1,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2000-07,92.8,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2000-08,92.5,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2000-09,93.4,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2000-10,93.4,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2000-11,93.8,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2000-12,93.6,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2001-01,94.3,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2001-02,95.1,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2001-03,95.3,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2001-04,95.8,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2001-05,96.3,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2001-06,96.3,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2001-07,94.8,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2001-08,94.6,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2001-09,95.1,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2001-10,95.1,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2001-11,95.0,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2001-12,95.1,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2002-01,95.2,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2002-02,95.5,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2002-03,95.8,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2002-04,95.8,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2002-05,96.0,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2002-06,96.0,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2002-07,95.8,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2002-08,95.5,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2002-09,96.2,
ESTAT:PRC_HICP_MIDX(1.0),01/10/24 11:00:00,M,I05,CP00,NO,2002-10,96.4,
