"Figure 1: Period and cohort life expectancy at birth, males and females, England and Wales, 1841 to 2020",""
"",""
"",""
"Notes",""
"Unit","Years"
"",""
"Year","Males Period","Males Cohort","Females Period","Females Cohort"
"1988","72.6","82.9","78.3","86.7"
"1989","72.9","83.2","78.3","86.8"
"1990","73.1","83.4","78.7","86.9"
"1991","73.3","83.6","78.8","87.1"
"1992","73.7","83.8","79.2","87.3"
"1993","73.7","83.9","79.0","87.4"
"1994","74.3","84.1","79.5","87.5"
"1995","74.2","84.2","79.4","87.6"
"1996","74.5","84.3","79.5","87.7"
"1997","74.8","84.5","79.7","87.8"
"1998","75.0","84.6","79.9","88.0"
"1999","75.2","84.7","80.0","88.1"
"2000","75.6","84.9","80.4","88.2"
"2001","75.9","85.0","80.6","88.3"
"2002","76.1","85.2","80.7","88.4"
"2003","76.3","85.3","80.7","88.5"
"2004","76.9","85.5","81.2","88.6"
"2005","77.1","85.6","81.4","88.8"
"2006","77.4","85.7","81.7","88.8"
"2007","77.7","85.8","81.9","89.0"
"2008","77.9","86.0","81.9","89.1"
"2009","78.3","86.1","82.4","89.2"
"2010","78.7","86.3","82.6","89.3"
"2011","79.1","86.4","82.9","89.4"
"2012","79.2","86.5","82.9","89.5"
"2013","79.2","86.6","83.0","89.7"
"2014","79.5","86.8","83.2","89.7"
"2015","79.3","86.9","82.9","89.9"
"2016","79.5","87.0","83.1","90.0"
"2017","79.5","87.1","83.2","90.0"
"2018","79.5","87.2","83.2","90.1"
"2019","79.8","87.3","83.5","90.2"
"2020","78.6","87.5","82.6","90.3"
