DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,FI,2022,48340,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,FR,2022,38550,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,HR,2022,17400,e
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,HU,2022,6823310,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,IE,2022,98990,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,IS,2022,9938660,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,IT,2022,33020,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,LT,2022,23800,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,LU,2022,118710,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,LV,2022,20610,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,ME,2022,9600,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,MT,2022,32430,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,NL,2022,54150,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,NO,2022,1020830,
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,PL,2022,81090,b
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,PT,2022,23530,p
ESTAT:NAMA_10_PC(1.0),31/10/23 23:00:00,A,CP_NAC_HAB,B1GQ,RO,2022,74010,p
