DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MEUR,B1GQ,EU27_2020,2016,12625796.9,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MEUR,B1GQ,EU27_2020,2022,16067935.3,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MEUR,B1GQ,EU27_2020,2023,17100166.5,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MEUR,P3,EU27_2020,2016,9458023.6,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MEUR,P3,EU27_2020,2022,11910026.9,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MEUR,P3,EU27_2020,2023,12700140.5,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MEUR,P5G,EU27_2020,2016,2603958.8,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MEUR,P5G,EU27_2020,2022,3834877.7,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MEUR,P5G,EU27_2020,2023,3768072.9,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MEUR,P6,EU27_2020,2016,5796171.3,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MEUR,P6,EU27_2020,2022,8924769.4,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MEUR,P6,EU27_2020,2023,8939244.9,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MEUR,P7,EU27_2020,2016,5232356.7,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MEUR,P7,EU27_2020,2022,8601738.6,
ESTAT:NAMA_10_GDP(1.0),25/09/24 23:00:00,A,CP_MEUR,P7,EU27_2020,2023,8307291.9,
